Player,Country,Team,Goals
Thiago Silva,Brazil,Chelsea FC,2
Thomas Partey,Ghana,Arsenal FC,0
Tiemoue Bakayoko,France,Chelsea FC,3
Timo Werner,Germany,Chelsea FC,6
Timothy Castagne,Belgium,Leicester City,2
Toby Alderweireld,Belgium,Tottenham Hotspur,1
Tom Cairney,England,Fulham FC,1
Tomas Soucek,Czech Republic,West Ham United,10
Trent Alexander-Arnold,England,Liverpool FC,2
Trezeguet,Egypt,Aston Villa,2
Tyler Roberts,Wales,Leeds United,1
Tyrick Mitchell,England,Crystal Palace,1
Tyrone Mings,England,Aston Villa,2
Victor Lindelof,Sweden,Manchester United,1
Virgil Van Dijk,Netherlands,Liverpool FC,1
Wilfred Ndidi,Nigeria,Leicester City,1
Wilfried Zaha,Ivory Coast,Crystal Palace,11
Willian,Brazil,Arsenal FC,1
Willian Jose,Brazil,Wolverhampton Wanderers,1
Willy Boly,France,Wolverhampton Wanderers,1
Yerry Mina,Colombia,Everton FC,2
Youri Tielemans,Belgium,Leicester City,6
Yves Bissouma,Mali,Brighton & Hove Albion,1
