Rank,Player,Unnamed: 2,Country,Team,Goals (Penalty)
,Daniel Amartey,,Ghana,Leicester City,1 (0)
,Joachim Andersen,,Denmark,Fulham FC,1 (0)
,Jordan Ayew,,Ghana,Crystal Palace,1 (0)
,Azpilicueta,,Spain,Chelsea FC,1 (0)
,Fabián Balbuena,,Paraguay,West Ham United,1 (0)
,Jan Bednarek,,Poland,Southampton FC,1 (0)
,Saïd Benrahma,,Algeria,West Ham United,1 (0)
,Sander Berge,,Norway,Sheffield United,1 (1)
,Steven Bergwijn,,Netherlands,Tottenham Hotspur,1 (0)
,Bernard,,Brazil,Everton FC,1 (0)
,Yves Bissouma,,Mali,Brighton & Hove Albion,1 (0)
,Willy Boly,,France,Wolverhampton Wanderers,1 (0)
,Robbie Brady,,Ireland,Burnley FC,1 (0)
,Joe Bryan,,England,Fulham FC,1 (0)
,Kean Bryan,,England,Sheffield United,1 (0)
,Oliver Burke,,Scotland,Sheffield United,1 (0)
,Dan Burn,,England,Brighton & Hove Albion,1 (0)
,Gary Cahill,,England,Crystal Palace,1 (0)
,Tom Cairney,,England,Fulham FC,1 (0)
,Carlos Vinícius,,Brazil,Tottenham Hotspur,1 (0)
,Andy Carroll,,England,Newcastle United,1 (0)
,Fabio Carvalho,,England,Fulham FC,1 (0)
,Ciaran Clark,,Ireland,Newcastle United,1 (0)
,Conor Coady,,England,Wolverhampton Wanderers,1 (0)
,Liam Cooper,,Scotland,Leeds United,1 (0)
,Scott Dann,,England,Crystal Palace,1 (0)
,David Luiz,,Brazil,Arsenal FC,1 (0)
,Keinan Davis,,England,Aston Villa,1 (0)
,Leander Dendoncker,,Belgium,Wolverhampton Wanderers,1 (0)
,Grady Diangana,,England,West Bromwich Albion,1 (0)
,Moussa Djénépo,,Mali,Southampton FC,1 (0)
,Paul Dummett,,Wales,Newcastle United,1 (0)
,Jimmy Dunne,,Ireland,Burnley FC,1 (0)
,Anthony Elanga,,Sweden,Manchester United,1 (0)
,Mohamed Elneny,,Egypt,Arsenal FC,1 (0)
,Fred,,Brazil,Manchester United,1 (0)
,Ryan Fredericks,,England,West Ham United,1 (0)
,Darnell Furlong,,England,West Bromwich Albion,1 (0)
,Dwight Gayle,,England,Newcastle United,1 (0)
,Morgan Gibbs-White,,England,Wolverhampton Wanderers,1 (0)
,Karlan Grant,,England,West Bromwich Albion,1 (0)
,Kortney Hause,,England,Aston Villa,1 (0)
,Héctor Bellerín,,Spain,Arsenal FC,1 (0)
,Jordan Henderson,,England,Liverpool FC,1 (0)
,Mason Holgate,,England,Everton FC,1 (0)
,Conor Hourihane,,Ireland,Aston Villa,1 (0)
,Alex Iwobi,,Nigeria,Everton FC,1 (0)
,Reece James,,England,Chelsea FC,1 (0)
,Daniel Jebbison,,England,Sheffield United,1 (0)
,João Moutinho,,Portugal,Wolverhampton Wanderers,1 (0)
,Ben Johnson,,England,West Ham United,1 (0)
,Curtis Jones,,England,Liverpool FC,1 (0)
,Cheikhou Kouyaté,,Senegal,Crystal Palace,1 (0)
,Emil Krafth,,Sweden,Newcastle United,1 (0)
,Adam Lallana,,England,Brighton & Hove Albion,1 (0)
,Érik Lamela,,Argentina,Tottenham Hotspur,1 (0)
,Tariq Lamptey,,England,Brighton & Hove Albion,1 (0)
,Manuel Lanzini,,Argentina,West Ham United,1 (0)
,Mario Lemina,,Gabon,Fulham FC,1 (0)
,Victor Lindelöf,,Sweden,Manchester United,1 (0)
,Llorente,,Spain,Leeds United,1 (0)
,Giovani Lo Celso,,Argentina,Tottenham Hotspur,1 (0)
,Ruben Loftus-Cheek,,England,Chelsea FC Fulham FC,1 (0)
,Matthew Lowton,,England,Burnley FC,1 (0)
,Alexis Mac Allister,,Argentina,Brighton & Hove Albion,1 (0)
,Mata,,Spain,Manchester United,1 (1)
,Jean-Philippe Mateta,,France,Crystal Palace,1 (0)
,Joel Matip,,Cameroon,Liverpool FC,1 (0)
,Oliver McBurnie,,Scotland,Sheffield United,1 (0)
,Luka Milivojević,,Serbia,Crystal Palace,1 (1)
,Tyrick Mitchell,,England,Crystal Palace,1 (0)
,Wilfred Ndidi,,Nigeria,Leicester City,1 (0)
,Nélson Semedo,,Portugal,Wolverhampton Wanderers,1 (0)
,Oriol Romeu,,Spain,Southampton FC,1 (0)
,Ben Osborn,,England,Sheffield United,1 (0)
,Alex Oxlade-Chamberlain,,England,Liverpool FC,1 (0)
,Martin Ødegaard,,Norway,Arsenal FC,1 (0)
,Kalvin Phillips,,England,Leeds United,1 (0)
,Nathaniel Phillips,,England,Liverpool FC,1 (0)
,Dennis Praet,,Belgium,Leicester City,1 (0)
,Tyler Roberts,,Wales,Leeds United,1 (0)
,Andrew Robertson,,Scotland,Liverpool FC,1 (0)
,Jay Rodriguez,,England,Burnley FC,1 (0)
,Rúben Dias,,Portugal,Manchester City,1 (0)
